organization,candidate_drafts,target_role,official_posting_url,posting_status,is_active,deadline,last_checked,selected_draft,v2_run_dir,legacy_internal_score,legacy_recommendation,submission_status
IBK기업은행,4,,,pending_official_posting,False,,,,,100.0,제출권장,not_ready
KB국민은행,2,,,pending_official_posting,False,,,,,100.0,제출권장,not_ready
KB증권,1,,,pending_official_posting,False,,,,,100.0,제출권장,not_ready
NH농협생명,1,,,pending_official_posting,False,,,,,100.0,제출권장,not_ready
NH농협은행,3,,,pending_official_posting,False,,,,,100.0,제출권장,not_ready
강남구 보건소,1,,,pending_official_posting,False,,,,,100.0,제출권장,not_ready
건강보험심사평가원,1,,,pending_official_posting,False,,,,,100.0,제출권장,not_ready
경기도주택도시공사,1,,,pending_official_posting,False,,,,,100.0,제출권장,not_ready
국민건강보험공단,2,,,pending_official_posting,False,,,,,100.0,제출권장,not_ready
국민연금공단,6,,,pending_official_posting,False,,,,,100.0,제출권장,not_ready
기술보증기금,1,,,pending_official_posting,False,,,,,100.0,제출권장,not_ready
농협네트웍스,1,,,pending_official_posting,False,,,,,100.0,제출권장,not_ready
동양생명보험,1,,,pending_official_posting,False,,,,,100.0,제출권장,not_ready
사회보장정보원,3,,,pending_official_posting,False,,,,,100.0,제출권장,not_ready
삼성생명,1,,,pending_official_posting,False,,,,,100.0,제출권장,not_ready
새마을금고,1,,,pending_official_posting,False,,,,,100.0,제출권장,not_ready
새마을금고중앙회,2,,,pending_official_posting,False,,,,,100.0,제출권장,not_ready
서민금융진흥원,1,,,pending_official_posting,False,,,,,100.0,제출권장,not_ready
서울교통공사,5,,,pending_official_posting,False,,,,,100.0,제출권장,not_ready
서울대학교병원,1,,,pending_official_posting,False,,,,,100.0,제출권장,not_ready
서울특별시농수산식품공사,2,,,pending_official_posting,False,,,,,100.0,제출권장,not_ready
성동구도시관리공단,1,,,pending_official_posting,False,,,,,100.0,제출권장,not_ready
수협은행,1,,,pending_official_posting,False,,,,,100.0,제출권장,not_ready
신용보증기금,8,2026년도 하반기 체험형 청년인턴1(보증),https://kodit2.saramin.co.kr/service/kodit2/3872/applicant/apply/recruit_default.asp,active,True,2026-07-23T16:00:00+09:00,2026-07-11,jasoseo_all_review_20260705/submission_ready_drafts_docx/27_새로운 자기소개서_25-11-29_신용보증기금 체험형 청년인턴1 (보증)_개선안.docx,career_runs/kodit-2026-h2-intern-final-20260711-091958-146317,100.0,제출권장,not_ready
신용회복위원회,1,,,pending_official_posting,False,,,,,100.0,제출권장,not_ready
신한은행,1,,,pending_official_posting,False,,,,,100.0,제출권장,not_ready
신협,1,,,pending_official_posting,False,,,,,100.0,제출권장,not_ready
우리은행,5,,,pending_official_posting,False,,,,,100.0,제출권장,not_ready
은행,1,,,pending_official_posting,False,,,,,100.0,제출권장,not_ready
인천공항시설관리,1,,,pending_official_posting,False,,,,,100.0,제출권장,not_ready
주택도시보증공사,5,,,pending_official_posting,False,,,,,100.0,제출권장,not_ready
지역농협,7,,,pending_official_posting,False,,,,,100.0,제출권장,not_ready
쿠팡,1,,,pending_official_posting,False,,,,,100.0,제출권장,not_ready
퀵실버록시,2,,,pending_official_posting,False,,,,,100.0,제출권장,not_ready
키움증권,1,,,pending_official_posting,False,,,,,100.0,제출권장,not_ready
하나은행,4,,,pending_official_posting,False,,,,,100.0,제출권장,not_ready
하나저축은행,2,,,pending_official_posting,False,,,,,100.0,제출권장,not_ready
한국공정거래조정원,1,,,pending_official_posting,False,,,,,100.0,제출권장,not_ready
한국도로공사서비스,2,,,pending_official_posting,False,,,,,100.0,제출권장,not_ready
한국마사회,1,,,pending_official_posting,False,,,,,100.0,제출권장,not_ready
한국서부발전,1,,,pending_official_posting,False,,,,,100.0,제출권장,not_ready
한국수출입은행,1,,,pending_official_posting,False,,,,,100.0,제출권장,not_ready
한국인터넷진흥원,1,,,pending_official_posting,False,,,,,100.0,제출권장,not_ready
한국장학재단,1,,,pending_official_posting,False,,,,,100.0,제출권장,not_ready
한국주택금융공사,1,,,pending_official_posting,False,,,,,100.0,제출권장,not_ready
한국토지주택공사,1,,,pending_official_posting,False,,,,,100.0,제출권장,not_ready
한화생명,1,,,pending_official_posting,False,,,,,100.0,제출권장,not_ready
해양박물관,1,,,pending_official_posting,False,,,,,100.0,제출권장,not_ready
흥국생명,1,,,pending_official_posting,False,,,,,100.0,제출권장,not_ready
